sample	unit	fq1	fq2	readlen	desiree_layers	desiree_layers_geno	rp_layer_geno	rp_layers
MF_93	CSFP210001501_HY5KHDSXY_L1	MF_93_C_CSFP210001501-1a_HY5KHDSXY_L1_1.fq.gz	MF_93_C_CSFP210001501-1a_HY5KHDSXY_L1_2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_93	MFRAG_00015H	MFRAG_00015H-1.fq.gz	MFRAG_00015H-2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_93	MFRAG_00015H_b	MFRAG_00015H_b-1.fq.gz	MFRAG_00015H_b-2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_98	MFRAG_00026H	MFRAG_00026H-1.fq.gz	MFRAG_00026H-2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_98	MFRAG_00026H_b	MFRAG_00026H_b-1.fq.gz	MFRAG_00026H_b-2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
PI310467	CSFP210001502_HY5JKDSXY_L1_1	U_DES_C_CSFP210001502-1a_HY5JKDSXY_L1_1.fq.gz	U_DES_C_CSFP210001502-1a_HY5JKDSXY_L1_2.fq.gz	short	TRUE	FALSE	TRUE	TRUE
PI310467	CSFP210001502_HY5KHDSXY_L1_1	U_DES_C_CSFP210001502-1a_HY5KHDSXY_L1_1.fq.gz	U_DES_C_CSFP210001502-1a_HY5KHDSXY_L1_2.fq.gz	short	TRUE	FALSE	TRUE	TRUE
PI310467	FRAG_01473	FRAG01473_S39_L003_1.fastq.gz	FRAG01473_S39_L003_2.fastq.gz	short	TRUE	FALSE	TRUE	TRUE
PI310467	KFRAG_00469	KFRAG_00469_1.fastq.gz	KFRAG_00469_2.fastq.gz	short	TRUE	FALSE	TRUE	TRUE
PI310467	m64069_211118_031642	m64069_211118_031642.hifi_reads.fastq.gz	NaN	long	TRUE	FALSE	TRUE	TRUE
PI310467	m64069_211125_193709	m64069_211125_193709.hifi_reads.fastq.gz	NaN	long	TRUE	FALSE	TRUE	TRUE
PI310467	m84066_230512_192902	m84066_230512_192902_s4.hifi_reads.default.bam	NaN	long	TRUE	FALSE	TRUE	TRUE
PI310467_root	KFRAG_01585_AVT0019_lane1	RP_root-1.fq.gz	RP_root-2.fq.gz	short	TRUE	FALSE	TRUE	TRUE
RP_TRICOLI	KFRAG_01519_A00953:535:HTK2MDSX3:4	TRICOLI_DES_A00953:535:HTK2MDSX3:4-1.fq.gz	TRICOLI_DES_A00953:535:HTK2MDSX3:4-2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
RP_TRICOLI	KFRAG_01519_A00953:538:HTHK7DSX3:4	TRICOLI_DES_A00953:538:HTHK7DSX3:4-1.fq.gz	TRICOLI_DES_A00953:538:HTHK7DSX3:4-2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
RP_TRICOLI	KFRAG_01519_A01535:134:H2FMGDSX5:3	TRICOLI_DES_A01535:134:H2FMGDSX5:3-1.fq.gz	TRICOLI_DES_A01535:134:H2FMGDSX5:3-2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
URGENTA	KFRAG_01520_A00953:535:HTK2MDSX3:4	URGENTA_A00953:535:HTK2MDSX3:4-1.fq.gz	URGENTA_A00953:535:HTK2MDSX3:4-2.fq.gz	short	TRUE	FALSE	TRUE	TRUE
URGENTA	KFRAG_01520_A00953:538:HTHK7DSX3:4	URGENTA_A00953:538:HTHK7DSX3:4-1.fq.gz	URGENTA_A00953:538:HTHK7DSX3:4-2.fq.gz	short	TRUE	FALSE	TRUE	TRUE
URGENTA	KFRAG_01520_A01535:134:H2FMGDSX5:3	URGENTA_A01535:134:H2FMGDSX5:3-1.fq.gz	URGENTA_A01535:134:H2FMGDSX5:3-2.fq.gz	short	TRUE	FALSE	TRUE	TRUE
URGENTA	KFRAG_01586_AVT0038_lane1	KFRAG_01586-1.fq.gz	KFRAG_01586-2.fq.gz	short	TRUE	FALSE	TRUE	TRUE
URGENTA	KFRAG_01586_AVT0038_lane2	KFRAG_01586_run1-1.fq.gz	KFRAG_01586_run1-2.fq.gz	short	TRUE	FALSE	TRUE	TRUE
URGENTA	KFRAG_01586_AVT0038_lane3	KFRAG_01586_run2-1.fq.gz	KFRAG_01586_run2-2.fq.gz	short	TRUE	FALSE	TRUE	TRUE
