sample	unit	fq1	fq2	readlen
BB_264	BORD_00227	BORD_00227.fq.gz	NaN	short
BB_265	BORD_00228	BORD_00228.fq.gz	NaN	short
BB_266	BORD_00229	BORD_00229.fq.gz	NaN	short
BB_268	BORD_00230	BORD_00230.fq.gz	NaN	short
BB_269	BORD_00231	BORD_00231.fq.gz	NaN	short
BB_27	BORD_00027	BORD_00027.fq.gz	NaN	short
BB_270	BORD_00232	BORD_00232.fq.gz	NaN	short
BB_271	BORD_00233	BORD_00233.fq.gz	NaN	short
BB_272	BORD_00234	BORD_00234.fq.gz	NaN	short
BB_273	BORD_00235	BORD_00235.fq.gz	NaN	short
BB_274	BORD_00236	BORD_00236.fq.gz	NaN	short
BB_275	BORD_00237	BORD_00237.fq.gz	NaN	short
BB_276	BORD_00238	BORD_00238.fq.gz	NaN	short
BB_277	BORD_00239	BORD_00239.fq.gz	NaN	short
BB_278	BORD_00240	BORD_00240.fq.gz	NaN	short
BB_279	BORD_00241	BORD_00241.fq.gz	NaN	short
BB_28	BORD_00028	BORD_00028.fq.gz	NaN	short
BB_280	BORD_00242	BORD_00242.fq.gz	NaN	short
BB_281	BORD_00243	BORD_00243.fq.gz	NaN	short
BB_282	BORD_00244	BORD_00244.fq.gz	NaN	short
BB_283	BORD_00245	BORD_00245.fq.gz	NaN	short
BB_284	BORD_00246	BORD_00246.fq.gz	NaN	short
BB_285	BORD_00247	BORD_00247.fq.gz	NaN	short
BB_286	BORD_00248	BORD_00248.fq.gz	NaN	short
BB_287	BORD_00249	BORD_00249.fq.gz	NaN	short
BB_288	BORD_00250	BORD_00250.fq.gz	NaN	short
BB_289	BORD_00251	BORD_00251.fq.gz	NaN	short
BB_29	BORD_00029	BORD_00029.fq.gz	NaN	short
BB_291	BORD_00252	BORD_00252.fq.gz	NaN	short
BB_292	BORD_00253	BORD_00253.fq.gz	NaN	short
BB_293	BORD_00254	BORD_00254.fq.gz	NaN	short
BB_294	BORD_00255	BORD_00255.fq.gz	NaN	short
BB_295	BORD_00256	BORD_00256.fq.gz	NaN	short
BB_296	BORD_00257	BORD_00257.fq.gz	NaN	short
BB_297	BORD_00258	BORD_00258.fq.gz	NaN	short
BB_298	BORD_00259	BORD_00259.fq.gz	NaN	short
BB_299	BORD_00260	BORD_00260.fq.gz	NaN	short
BB_3	BORD_00003	BORD_00003.fq.gz	NaN	short
BB_30	BORD_00030	BORD_00030.fq.gz	NaN	short
BB_300	BORD_00261	BORD_00261.fq.gz	NaN	short
BB_301	BORD_00262	BORD_00262.fq.gz	NaN	short
BB_302	BORD_00263	BORD_00263.fq.gz	NaN	short
BB_303	BORD_00264	BORD_00264.fq.gz	NaN	short
BB_304	BORD_00265	BORD_00265.fq.gz	NaN	short
BB_305	BORD_00266	BORD_00266.fq.gz	NaN	short
BB_306	BORD_00267	BORD_00267.fq.gz	NaN	short
BB_307	BORD_00268	BORD_00268.fq.gz	NaN	short
BB_308	BORD_00269	BORD_00269.fq.gz	NaN	short
BB_31	BORD_00031	BORD_00031.fq.gz	NaN	short
BB_310	BORD_00270	BORD_00270.fq.gz	NaN	short
BB_311	BORD_00271	BORD_00271.fq.gz	NaN	short
BB_312	BORD_00272	BORD_00272.fq.gz	NaN	short
BB_313	BORD_00273	BORD_00273.fq.gz	NaN	short
BB_314	BORD_00274	BORD_00274.fq.gz	NaN	short
BB_315	BORD_00275	BORD_00275.fq.gz	NaN	short
BB_316	BORD_00276	BORD_00276.fq.gz	NaN	short
BB_317	BORD_00277	BORD_00277.fq.gz	NaN	short
BB_318	BORD_00278	BORD_00278.fq.gz	NaN	short
BB_32	BORD_00032	BORD_00032.fq.gz	NaN	short
BB_320	BORD_00279	BORD_00279.fq.gz	NaN	short
BB_321	BORD_00280	BORD_00280.fq.gz	NaN	short
BB_322	BORD_00281	BORD_00281.fq.gz	NaN	short
BB_323	BORD_00282	BORD_00282.fq.gz	NaN	short
BB_324	BORD_00283	BORD_00283.fq.gz	NaN	short
BB_325	BORD_00284	BORD_00284.fq.gz	NaN	short
BB_326	BORD_00285	BORD_00285.fq.gz	NaN	short
BB_327	BORD_00286	BORD_00286.fq.gz	NaN	short
BB_329	BORD_00287	BORD_00287.fq.gz	NaN	short
BB_33	BORD_00033	BORD_00033.fq.gz	NaN	short
BB_330	BORD_00288	BORD_00288.fq.gz	NaN	short
BB_34	BORD_00034	BORD_00034.fq.gz	NaN	short
BB_35	BORD_00035	BORD_00035.fq.gz	NaN	short
BB_36	BORD_00036	BORD_00036.fq.gz	NaN	short
BB_37	BORD_00037	BORD_00037.fq.gz	NaN	short
BB_38	BORD_00038	BORD_00038.fq.gz	NaN	short
BB_39	BORD_00039	BORD_00039.fq.gz	NaN	short
BB_4	BORD_00004	BORD_00004.fq.gz	NaN	short
BB_40	BORD_00040	BORD_00040.fq.gz	NaN	short
BB_41	BORD_00041	BORD_00041.fq.gz	NaN	short
BB_42	BORD_00042	BORD_00042.fq.gz	NaN	short
BB_43	BORD_00043	BORD_00043.fq.gz	NaN	short
BB_44	BORD_00044	BORD_00044.fq.gz	NaN	short
BB_45	BORD_00045	BORD_00045.fq.gz	NaN	short
BB_46	BORD_00046	BORD_00046.fq.gz	NaN	short
BB_47	BORD_00047	BORD_00047.fq.gz	NaN	short
BB_48	BORD_00048	BORD_00048.fq.gz	NaN	short
BB_5	BORD_00005	BORD_00005.fq.gz	NaN	short
BB_50	BORD_00049	BORD_00049.fq.gz	NaN	short
BB_51	BORD_00050	BORD_00050.fq.gz	NaN	short
BB_52	BORD_00051	BORD_00051.fq.gz	NaN	short
BB_53	BORD_00052	BORD_00052.fq.gz	NaN	short
BB_54	BORD_00053	BORD_00053.fq.gz	NaN	short
BB_55	BORD_00054	BORD_00054.fq.gz	NaN	short
BB_56	BORD_00055	BORD_00055.fq.gz	NaN	short
BB_57	BORD_00056	BORD_00056.fq.gz	NaN	short
BB_58	BORD_00057	BORD_00057.fq.gz	NaN	short
BB_59	BORD_00058	BORD_00058.fq.gz	NaN	short
BB_6	BORD_00006	BORD_00006.fq.gz	NaN	short
BB_60	BORD_00059	BORD_00059.fq.gz	NaN	short
BB_61	BORD_00060	BORD_00060.fq.gz	NaN	short
BB_63	BORD_00061	BORD_00061.fq.gz	NaN	short
BB_64	BORD_00062	BORD_00062.fq.gz	NaN	short
BB_65	BORD_00063	BORD_00063.fq.gz	NaN	short
BB_66	BORD_00064	BORD_00064.fq.gz	NaN	short
BB_67	BORD_00065	BORD_00065.fq.gz	NaN	short
BB_68	BORD_00066	BORD_00066.fq.gz	NaN	short
BB_69	BORD_00067	BORD_00067.fq.gz	NaN	short
BB_7	BORD_00007	BORD_00007.fq.gz	NaN	short
BB_70	BORD_00068	BORD_00068.fq.gz	NaN	short
BB_71	BORD_00069	BORD_00069.fq.gz	NaN	short
BB_72	BORD_00070	BORD_00070.fq.gz	NaN	short
BB_73	BORD_00071	BORD_00071.fq.gz	NaN	short
BB_74	BORD_00072	BORD_00072.fq.gz	NaN	short
BB_75	BORD_00073	BORD_00073.fq.gz	NaN	short
BB_76	BORD_00074	BORD_00074.fq.gz	NaN	short
BB_77	BORD_00075	BORD_00075.fq.gz	NaN	short
BB_78	BORD_00076	BORD_00076.fq.gz	NaN	short
BB_79	BORD_00077	BORD_00077.fq.gz	NaN	short
BB_8	BORD_00008	BORD_00008.fq.gz	NaN	short
BB_80	BORD_00078	BORD_00078.fq.gz	NaN	short
BB_81	BORD_00079	BORD_00079.fq.gz	NaN	short
BB_82	BORD_00080	BORD_00080.fq.gz	NaN	short
BB_83	BORD_00081	BORD_00081.fq.gz	NaN	short
BB_84	BORD_00082	BORD_00082.fq.gz	NaN	short
BB_85	BORD_00083	BORD_00083.fq.gz	NaN	short
BB_86	BORD_00084	BORD_00084.fq.gz	NaN	short
BB_87	BORD_00085	BORD_00085.fq.gz	NaN	short
BB_88	BORD_00086	BORD_00086.fq.gz	NaN	short
BB_89	BORD_00087	BORD_00087.fq.gz	NaN	short
BB_9	BORD_00009	BORD_00009.fq.gz	NaN	short
BB_90	BORD_00088	BORD_00088.fq.gz	NaN	short
BB_91	BORD_00089	BORD_00089.fq.gz	NaN	short
BB_92	BORD_00090	BORD_00090.fq.gz	NaN	short
BB_93	BORD_00091	BORD_00091.fq.gz	NaN	short
BB_94	BORD_00092	BORD_00092.fq.gz	NaN	short
BB_95	BORD_00093	BORD_00093.fq.gz	NaN	short
BB_96	BORD_00094	BORD_00094.fq.gz	NaN	short
BB_97	BORD_00095	BORD_00095.fq.gz	NaN	short
BB_98	BORD_00096	BORD_00096.fq.gz	NaN	short
BB_99	BORD_00097	BORD_00097.fq.gz	NaN	short
CIP_Desiree	KFRAG_01506	KFRAG_01506-1.fq.gz	KFRAG_01506-2.fq.gz	short
CIP_Desiree	KFRAG_01506_b	KFRAG_01506_b-1.fq.gz	KFRAG_01506_b-2.fq.gz	short
CNRS_Desiree	SRR8261493	SRR8261493_1.fastq.gz	SRR8261493_2.fastq.gz	short
Cornell_Desiree_2021	CSFP210001504_HY5JKDSXY_L1	C_DES_C_CSFP210001504-1a_HY5JKDSXY_L1_1.fq.gz	C_DES_C_CSFP210001504-1a_HY5JKDSXY_L1_2.fq.gz	short
Cornell_Desiree_2021	CSFP210001504_HY5KHDSXY_L1	C_DES_C_CSFP210001504-1a_HY5KHDSXY_L1_1.fq.gz	C_DES_C_CSFP210001504-1a_HY5KHDSXY_L1_2.fq.gz	short
Cornell_Desiree_root	KFRAG_01587	KFRAG_01587-1.fq.gz	KFRAG_01587-2.fq.gz	short
Cornell_Desiree_root	KFRAG_01587_run2	KFRAG_01587_run2-1.fq.gz	KFRAG_01587_run2-2.fq.gz	short
Cornell_Desiree_root	KFRAG_01587_run3	KFRAG_01587_run3-1.fq.gz	KFRAG_01587_run3-2.fq.gz	short
Cornell_Desiree_trichome	CDT7	CDT7-1.fq.gz	CDT7-2.fq.gz	short
Cornell_Desiree_trichome	CDT8	CDT8-1.fq.gz	CDT8-2.fq.gz	short
D140	KFRAG_01583_AVT0014_lane1	Kirk_D140-1.fq.gz	Kirk_D140-2.fq.gz	short
D140	KFRAG_01583_AVT0014_lane2	Kirk_D140_lane2-1.fq.gz	Kirk_D140_lane2-2.fq.gz	short
D140	KFRAG_01583_AVT0019_lane1	D140-1.fq.gz	D140-2.fq.gz	short
D3	KFRAG_01581_AVT0014_lane1	Kirk_D3-1.fq.gz	Kirk_D3-2.fq.gz	short
D3	KFRAG_01581_AVT0014_lane2	Kirk_D3_lane2-1.fq.gz	Kirk_D3_lane2-2.fq.gz	short
D59	KFRAG_01582_AVT0014_lane1	Kirk_D59-1.fq.gz	Kirk_D59-2.fq.gz	short
D59	KFRAG_01582_AVT0014_lane2	Kirk_D59_lane2-1.fq.gz	Kirk_D59_lane2-2.fq.gz	short
D59	KFRAG_01582_AVT0019_lane1	D59-1.fq.gz	D59-2.fq.gz	short
IPK_Depesche	KFRAG_01580_lane1	IPK_Depesche-1.fq.gz	IPK_Depesche-2.fq.gz	short
IPK_Depesche	KFRAG_01580_lane2	IPK_Depesche_lane2-1.fq.gz	IPK_Depesche_lane2-2.fq.gz	short
IPK_Desiree	KFRAG_01577_lane1	IPK_Desiree-1.fq.gz	IPK_Desiree-2.fq.gz	short
IPK_Desiree	KFRAG_01577_lane2	IPK_Desiree_lane2-1.fq.gz	IPK_Desiree_lane2-2.fq.gz	short
IPK_Urgenta	KFRAG_01579_AVT0014_lane1	IPK_Urgenta-1.fq.gz	IPK_Urgenta-2.fq.gz	short
IPK_Urgenta	KFRAG_01579_AVT0014_lane2	IPK_Urgenta_lane2-1.fq.gz	IPK_Urgenta_lane2-2.fq.gz	short
MF_104	MFRAG_00032H	MFRAG_00032H-1.fq.gz	MFRAG_00032H-2.fq.gz	short
MF_104	MFRAG_00032H_b	MFRAG_00032H_b-1.fq.gz	MFRAG_00032H_b-2.fq.gz	short
MF_105	CSFP200003979_L1	MF105_B1_CSFP200003979-1a_H5MWFDSXY_L1_1.fq.gz	MF105_B1_CSFP200003979-1a_H5MWFDSXY_L1_2.fq.gz	short
MF_105	CSFP200003979_L2	MF105_B1_CSFP200003979-1a_H552FDSXY_L2_1.fq.gz	MF105_B1_CSFP200003979-1a_H552FDSXY_L2_2.fq.gz	short
MF_105	CSFP210001503_HY5JKDSXY_L1	MF_105_C_CSFP210001503-1a_HY5JKDSXY_L1_1.fq.gz	MF_105_C_CSFP210001503-1a_HY5JKDSXY_L1_2.fq.gz	short
MF_105	CSFP210001503_HY5KHDSXY_L1	MF_105_C_CSFP210001503-1a_HY5KHDSXY_L1_1.fq.gz	MF_105_C_CSFP210001503-1a_HY5KHDSXY_L1_2.fq.gz	short
MF_11	CSFP200003973_L1	MF11_B1_CSFP200003973-1a_H5ML2DSXY_L1_1.fq.gz	MF11_B1_CSFP200003973-1a_H5ML2DSXY_L1_2.fq.gz	short
MF_11	CSFP200003973_L2	MF11_B1_CSFP200003973-1a_H552FDSXY_L2_1.fq.gz	MF11_B1_CSFP200003973-1a_H552FDSXY_L2_2.fq.gz	short
MF_113_1	MFRAG_00019H	MFRAG_00019H-1.fq.gz	MFRAG_00019H-2.fq.gz	short
MF_113_1	MFRAG_00019H_b	MFRAG_00019H_b-1.fq.gz	MFRAG_00019H_b-2.fq.gz	short
MF_43	CSFP200003974_L1	MF43_B3_CSFP200003974-1a_H5ML2DSXY_L1_1.fq.gz	MF43_B3_CSFP200003974-1a_H5ML2DSXY_L1_2.fq.gz	short
MF_43	CSFP200003974_L2	MF43_B3_CSFP200003974-1a_H552FDSXY_L2_1.fq.gz	MF43_B3_CSFP200003974-1a_H552FDSXY_L2_2.fq.gz	short
MF_43	CSFP210001498_HY5JKDSXY_L1	MF_43_C_CSFP210001498-1a_HY5JKDSXY_L1_1.fq.gz	MF_43_C_CSFP210001498-1a_HY5JKDSXY_L1_2.fq.gz	short
MF_43	CSFP210001498_HY5KHDSXY_L1	MF_43_C_CSFP210001498-1a_HY5KHDSXY_L1_1.fq.gz	MF_43_C_CSFP210001498-1a_HY5KHDSXY_L1_2.fq.gz	short
MF_43_3	MFRAG_00027H	MFRAG_00027H-1.fq.gz	MFRAG_00027H-2.fq.gz	short
MF_43_3	MFRAG_00027H_b	MFRAG_00027H_b-1.fq.gz	MFRAG_00027H_b-2.fq.gz	short
MF_63_2	MFRAG_00039H	MFRAG_00039H-1.fq.gz	MFRAG_00039H-2.fq.gz	short
MF_63_2	MFRAG_00039H_b	MFRAG_00039H_b-1.fq.gz	MFRAG_00039H_b-2.fq.gz	short
MF_63_B2	CSFP200003975	MF63_B2_CSFP200003975-1a_H5NVTDSXY_L1_1.fq.gz	MF63_B2_CSFP200003975-1a_H5NVTDSXY_L1_2.fq.gz	short
MF_74_2	MFRAG_00040H	MFRAG_00040H-1.fq.gz	MFRAG_00040H-2.fq.gz	short
MF_74_2	MFRAG_00040H_b	MFRAG_00040H_b-1.fq.gz	MFRAG_00040H_b-2.fq.gz	short
MF_75	CSFP210001499_HY5KJDSXY_L1	MF_75_C_CSFP210001499-1a_HY5KJDSXY_L1_1.fq.gz	MF_75_C_CSFP210001499-1a_HY5KJDSXY_L1_2.fq.gz	short
MF_75	CSFP210001499_Y5JKDSXY_L1	MF_75_C_CSFP210001499-1a_HY5JKDSXY_L1_1.fq.gz	MF_75_C_CSFP210001499-1a_HY5JKDSXY_L1_2.fq.gz	short
MF_83	CSFP200003976_L1	MF83_B1_CSFP200003976-1a_H5ML2DSXY_L1_1.fq.gz	MF83_B1_CSFP200003976-1a_H5ML2DSXY_L1_2.fq.gz	short
MF_83	CSFP200003976_L2	MF83_B1_CSFP200003976-1a_H552FDSXY_L2_1.fq.gz	MF83_B1_CSFP200003976-1a_H552FDSXY_L2_2.fq.gz	short
MF_83	MFRAG_00023H	MFRAG_00023H-1.fq.gz	MFRAG_00023H-2.fq.gz	short
MF_83	MFRAG_00023H_b	MFRAG_00023H_b-1.fq.gz	MFRAG_00023H_b-2.fq.gz	short
MF_84	CSFP200003977_L1	MF84_B1_CSFP200003977-1a_H5ML2DSXY_L1_1.fq.gz	MF84_B1_CSFP200003977-1a_H5ML2DSXY_L1_2.fq.gz	short
MF_84	CSFP200003977_L2	MF84_B1_CSFP200003977-1a_H552FDSXY_L2_1.fq.gz	MF84_B1_CSFP200003977-1a_H552FDSXY_L2_2.fq.gz	short
MF_84	MFRAG_00003H	MFRAG_00003H-1.fq.gz	MFRAG_00003H-2.fq.gz	short
MF_84	MFRAG_00003H_b	MFRAG_00003H_b-1.fq.gz	MFRAG_00003H_b-2.fq.gz	short
MF_86	CSFP210001500_HY5JKDSXY_L1	MF_86_C_CSFP210001500-1a_HY5JKDSXY_L1_1.fq.gz	MF_86_C_CSFP210001500-1a_HY5JKDSXY_L1_2.fq.gz	short
MF_86	CSFP210001500_HY5KHDSXY_L1	MF_86_C_CSFP210001500-1a_HY5KHDSXY_L1_1.fq.gz	MF_86_C_CSFP210001500-1a_HY5KHDSXY_L1_2.fq.gz	short
MF_86_1	MFRAG_00021H	MFRAG_00021H-1.fq.gz	MFRAG_00021H-2.fq.gz	short
MF_86_1	MFRAG_00021H_b	MFRAG_00021H_b-1.fq.gz	MFRAG_00021H_b-2.fq.gz	short
MF_86_B2	CSFP200003978	MF86_B2_CSFP200003978-1a_H5NVTDSXY_L1_1.fq.gz	MF86_B2_CSFP200003978-1a_H5NVTDSXY_L1_2.fq.gz	short
MF_93	CSFP210001501_HY5JKDSXY_L1	MF_93_C_CSFP210001501-1a_HY5JKDSXY_L1_1.fq.gz	MF_93_C_CSFP210001501-1a_HY5JKDSXY_L1_2.fq.gz	short
MF_93	CSFP210001501_HY5KHDSXY_L1	MF_93_C_CSFP210001501-1a_HY5KHDSXY_L1_1.fq.gz	MF_93_C_CSFP210001501-1a_HY5KHDSXY_L1_2.fq.gz	short
MF_93	MFRAG_00015H	MFRAG_00015H-1.fq.gz	MFRAG_00015H-2.fq.gz	short
MF_93	MFRAG_00015H_b	MFRAG_00015H_b-1.fq.gz	MFRAG_00015H_b-2.fq.gz	short
MF_98	MFRAG_00026H	MFRAG_00026H-1.fq.gz	MFRAG_00026H-2.fq.gz	short
MF_98	MFRAG_00026H_b	MFRAG_00026H_b-1.fq.gz	MFRAG_00026H_b-2.fq.gz	short
PI310467	CSFP210001502_HY5JKDSXY_L1_1	U_DES_C_CSFP210001502-1a_HY5JKDSXY_L1_1.fq.gz	U_DES_C_CSFP210001502-1a_HY5JKDSXY_L1_2.fq.gz	short
